group,metric,higher_is_better,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant
MultiArith,gpu_usage_avg_percent,False,300,5.9626050916101425,7.42855732650158,1.4659522348914371,1.3052582745306287,1.6400369053870396,24.58576766980842,1.2137872694822825e-43,0.9227906976744186,,,SCoT,2.4501579083640893e-43,True
QASports,gpu_usage_avg_percent,False,300,6.202228276653468,9.332206800597806,3.129978523944338,2.643386921860967,3.621269761590931,50.46538734677432,1.4017203031979954e-34,0.8169656699889258,,,SCoT,1.4017203031979954e-34,True
saycan,gpu_usage_avg_percent,False,300,6.248194532744415,9.699422465315882,3.4512279325714665,2.9226589211200893,3.9824412967053617,55.23560309277971,1.2625618200113408e-44,0.9335548172757475,,,SCoT,4.2085394000378023e-44,True
StrategyQA,gpu_usage_avg_percent,False,300,5.754940245306461,7.188933973702577,1.433993728396117,1.2221259949592607,1.6695655670497898,24.917612820839192,9.358177769158349e-46,0.94578073089701,,,SCoT,4.6790888845791745e-45,True
SVAMP,gpu_usage_avg_percent,False,300,6.197452043247122,7.698115593389788,1.5006635501426646,1.2358501241239432,1.7852927878803626,24.214201895726166,2.04120355080997e-40,0.8865559246954596,,,SCoT,2.9160050725856717e-40,True
aqua,metric_leak,False,300,0.0,0.32,0.32,0.26666666666666666,0.37333333333333335,,2.524354896707238e-29,1.0,0.0,96.0,SCoT,2.804838774119153e-29,True
asdiv,metric_leak,False,300,0.0,0.45666666666666667,0.45666666666666667,0.4,0.5133333333333333,,1.1479437019748901e-41,1.0,0.0,137.0,SCoT,5.739718509874451e-41,True
clutrr,metric_leak,False,300,0.0,0.45,0.45,0.3933333333333333,0.5066666666666667,,4.591774807899561e-41,1.0,0.0,135.0,SCoT,1.530591602633187e-40,True
date,metric_leak,False,300,0.0,0.33,0.33,0.28,0.38333333333333336,,3.1554436208840472e-30,1.0,0.0,99.0,SCoT,3.944304526105059e-30,True
gsm8k,metric_leak,False,300,0.0,0.36333333333333334,0.36333333333333334,0.31,0.4166666666666667,,3.0814879110195774e-33,1.0,0.0,109.0,SCoT,4.402125587170825e-33,True
MultiArith,metric_leak,False,300,0.0,0.38666666666666666,0.38666666666666666,0.3333333333333333,0.44,,2.407412430484045e-35,1.0,0.0,116.0,SCoT,4.81482486096809e-35,True
QASports,metric_leak,False,300,0.0,0.31666666666666665,0.31666666666666665,0.2633333333333333,0.37,,5.048709793414476e-29,1.0,0.0,95.0,SCoT,5.048709793414476e-29,True
saycan,metric_leak,False,300,0.0,0.44666666666666666,0.44666666666666666,0.3933333333333333,0.5033333333333333,,9.183549615799121e-41,1.0,0.0,134.0,SCoT,2.2958874039497803e-40,True
StrategyQA,metric_leak,False,300,0.0,0.5266666666666666,0.5266666666666666,0.47,0.5866666666666667,,5.473822126268817e-48,1.0,0.0,158.0,SCoT,5.473822126268817e-47,True
SVAMP,metric_leak,False,300,0.0,0.37666666666666665,0.37666666666666665,0.32658333333333334,0.43333333333333335,,1.925929944387236e-34,1.0,0.0,113.0,SCoT,3.2098832406453932e-34,True
aqua,output_words,False,300,168.57,145.35666666666665,-23.213333333333335,-28.870166666666666,-17.619833333333336,-13.770738170097488,5.694869515883758e-13,-0.48249836169299254,,,MGCoT,1.4237173789709395e-12,True
asdiv,output_words,False,300,93.95333333333333,84.93333333333334,-9.02,-15.3405,-2.496250000000006,-9.600510891932165,0.005375086746814686,-0.18666393666393666,,,MGCoT,0.005375086746814686,True
clutrr,output_words,False,300,83.02666666666667,70.62,-12.406666666666666,-20.343833333333333,-4.73641666666667,-14.942990203950535,0.0013988642396740973,-0.2206605222734255,,,MGCoT,0.0015542935996378858,True
date,output_words,False,300,91.96,57.36666666666667,-34.593333333333334,-41.64116666666666,-27.442583333333342,-37.61780484268523,4.784594017854109e-17,-0.5617924208528235,,,MGCoT,1.5948646726180365e-16,True
gsm8k,output_words,False,300,157.87333333333333,137.78666666666666,-20.086666666666666,-25.244333333333334,-14.95325,-12.72328026688062,2.7509829773922e-11,-0.4458002847264592,,,MGCoT,4.584971628987e-11,True
MultiArith,output_words,False,300,114.72333333333333,92.43666666666667,-22.286666666666665,-28.273666666666667,-16.02316666666667,-19.426446232966267,6.935981217565426e-11,-0.4380897846999542,,,MGCoT,9.908544596522038e-11,True
QASports,output_words,False,300,142.59666666666666,83.17666666666666,-59.42,-69.04416666666667,-49.306583333333336,-41.66997826036139,9.547322481131741e-23,-0.6560795492805997,,,MGCoT,4.773661240565871e-22,True
saycan,output_words,False,300,133.47666666666666,100.22333333333333,-33.25333333333333,-42.27341666666667,-24.116500000000002,-24.913218290337888,2.1258832502597114e-10,-0.43484062268346924,,,MGCoT,2.6573540628246393e-10,True
StrategyQA,output_words,False,300,174.70333333333335,133.41333333333333,-41.29,-48.3435,-34.21308333333334,-23.634351567419053,4.348704866374498e-24,-0.6800045808520385,,,MGCoT,4.348704866374498e-23,True
SVAMP,output_words,False,300,130.14666666666668,107.93333333333334,-22.213333333333335,-28.043499999999998,-16.153166666666667,-17.067923368507326,2.0164454545779155e-11,-0.4496086996086996,,,MGCoT,4.032890909155831e-11,True
aqua,ram_usage_avg_mb,False,300,12732.185123628766,12605.355609177273,-126.82951445149159,-167.65212576402854,-88.05687786327589,-0.9961331320585155,2.6744134733563207e-12,-0.4658693244739756,,,MGCoT,2.6744134733563207e-12,True
asdiv,ram_usage_avg_mb,False,300,11268.333934265826,11177.321194849517,-91.01273941630882,-108.9490568842697,-74.84003434282367,-0.8076858561987463,1.6889949180179213e-29,-0.7512292358803987,,,MGCoT,8.444974590089606e-29,True
clutrr,ram_usage_avg_mb,False,300,11151.000842890937,11075.172383841018,-75.82845904991825,-95.48381242198516,-56.965189711023775,-0.6800148266355924,1.673366173798238e-24,-0.680531561461794,,,MGCoT,3.346732347596476e-24,True
date,ram_usage_avg_mb,False,300,11401.781566286909,11322.39377283243,-79.38779345447966,-102.05734383109676,-59.72721350462337,-0.6962753407696881,4.0837796658986485e-23,-0.6595791805094131,,,MGCoT,6.806299443164414e-23,True
gsm8k,ram_usage_avg_mb,False,300,11504.513844624838,11404.696829472843,-99.8170151519931,-144.0975435290634,-67.4533118980906,-0.8676334915154178,3.552612578067195e-18,-0.5790033222591362,,,MGCoT,4.440765722583994e-18,True
MultiArith,ram_usage_avg_mb,False,300,11845.259408916718,11767.07424040354,-78.1851685131777,-90.87859477273463,-65.98109297019829,-0.6600545063143363,3.250438605863712e-31,-0.7740420819490587,,,MGCoT,3.250438605863712e-30,True
QASports,ram_usage_avg_mb,False,300,12091.486413538316,12007.636324553861,-83.85008898445518,-102.3781637251954,-65.82449082727062,-0.6934638647120493,7.128738018212992e-23,-0.655858250276855,,,MGCoT,1.0183911454589989e-22,True
saycan,ram_usage_avg_mb,False,300,11995.414694733712,11874.93586860523,-120.47882612848264,-157.4947882864357,-89.29832920623328,-1.0043739978524948,4.702768958676853e-25,-0.6886821705426357,,,MGCoT,1.1756922396692132e-24,True
StrategyQA,ram_usage_avg_mb,False,300,11814.120243007706,11724.021252799192,-90.09899020851411,-111.00761403396383,-69.6547895779445,-0.7626381681855661,5.5660532921884095e-27,-0.7164562569213732,,,MGCoT,1.8553510973961365e-26,True
SVAMP,ram_usage_avg_mb,False,300,12363.58474904984,12286.046821566217,-77.53792748362372,-100.59075555797592,-54.15181605047624,-0.627147619864721,1.0713810249711272e-16,-0.5526467331118494,,,MGCoT,1.19042336107903e-16,True
aqua,rougeL_f1,True,300,0.007043680786561423,0.01007074939768468,0.0030270686111232583,0.0006395787363848159,0.0062045963144286434,42.97566432735816,0.006464775240934867,0.2290329843521333,,,MGCoT,0.010774625401558111,True
asdiv,rougeL_f1,True,300,0.024832229251147784,0.04524790392166953,0.020415674670521754,0.01342844935879765,0.02805286438872544,82.2144257128188,0.04453636374620728,0.13610617371726508,,,MGCoT,0.06362337678029611,False
clutrr,rougeL_f1,True,300,0.054065443953479564,0.09577247520850458,0.04170703125502502,0.029785291337836077,0.05340415608281279,77.1417530408364,4.620438092207434e-05,0.28088459583121506,,,MGCoT,9.240876184414868e-05,True
date,rougeL_f1,True,300,0.04813998921254916,0.19149474017812293,0.1433547509655738,0.11715055876936076,0.17126271773975996,297.78725195103283,7.919010489988198e-20,0.6091445758793294,,,MGCoT,3.9595052449940993e-19,True
gsm8k,rougeL_f1,True,300,0.25368911813203,0.24413300650337363,-0.009556111628656406,-0.022023746343994715,0.0028049632440764567,-3.7668590986559467,0.4122443788068103,-0.054617940199335545,,,SCoT,0.45804930978534475,False
MultiArith,rougeL_f1,True,300,0.0186250608853786,0.029217479148000755,0.010592418262622154,0.007776134072748421,0.013566819613449087,56.87185844819233,4.5771367859963325e-07,0.34344754161827334,,,MGCoT,1.144284196499083e-06,True
QASports,rougeL_f1,True,300,0.006243285130775184,0.0025765745700483535,-0.0036667105607268314,-0.004730461308734813,-0.002600904966058743,-58.73046775730972,1.1900715044701794e-08,-0.4872995856602414,,,SCoT,3.966905014900598e-08,True
