level,group,metric,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant,ill_posed_dataset
dataset,SVAMP,token_f1,300,0.029118269748144233,0.028482656509920896,-0.0006356132382233344,-0.004051080327359867,0.0029465843318647812,-2.1828674702206277,0.06277857503216958,-0.13657437638761918,,,SCoT,0.09478333877405995,False,False
dataset,StrategyQA,token_f1,300,0.000496610335164293,0.000590875952037476,9.4265616873183e-05,-0.0005595253782790306,0.0008096707959964648,18.98180730411042,0.84375,0.14285714285714285,,,MGCoT,0.9150528169014085,False,False
dataset,aqua,token_f1,300,0.012573365068806262,0.015992105997426953,0.0034187409286206877,0.0012332221801754804,0.005895105397065944,27.190341725640113,0.0024262963559046904,0.2658295129891702,,,MGCoT,0.004469493287192851,True,False
dataset,asdiv,token_f1,300,0.042106327454222665,0.04937821603269043,0.0072718885784677605,0.0014380950249784459,0.013599548886561124,17.270298831864743,0.38350516557354686,-0.060189452124935997,,,MGCoT,0.4702213017382661,False,False
dataset,clutrr,token_f1,300,0.03222705357503333,0.05223321677613969,0.020006163201106368,0.011772785816728354,0.02826317291086132,62.07878469102546,0.18584290319938512,0.0993349066723879,,,MGCoT,0.25024533120388265,False,False
dataset,date,token_f1,300,0.009004801508864901,0.037447776103301036,0.028442974594436135,0.015525397525253726,0.04286803701520535,315.8645370076737,0.017343048678620333,0.28564749883122953,,,MGCoT,0.028473662009675174,True,False
dataset,gsm8k,token_f1,300,0.4084161198884031,0.36883417294167437,-0.03958194694672861,-0.05537567475845736,-0.02435676755841843,-9.691573133191733,0.0012702774510036834,-0.2146622369878184,,,SCoT,0.0024825219220122744,True,False
dataset,saycan,token_f1,300,0.10177863351650338,0.09499723611310525,-0.0067813974033981315,-0.012320248621597718,-0.0011321526667808317,-6.662889026014021,0.018108573926441364,-0.16122901488755148,,,SCoT,0.02966723813480819,True,True
dataset,MultiArith,char_f1,300,0.11647452526283933,0.12324306027123086,0.006768535008391564,0.004138379469968815,0.009387726005706655,5.811172007885431,5.661432183594595e-09,0.40170310116929336,,,MGCoT,2.3311779579507156e-08,True,False
dataset,QASports,char_f1,300,0.026035655735964256,0.014755754075001626,-0.011279901660962637,-0.01504094648459535,-0.007640176089100769,-43.32482260234063,9.226060895291778e-12,-0.5761025817951814,,,SCoT,5.775664137702983e-11,True,True
dataset,SVAMP,char_f1,300,0.11942770409222547,0.12615516217993397,0.006727458087708505,0.003505181588959097,0.010101455970932335,5.633079978254769,1.8527684510918444e-05,0.2946922086772166,,,MGCoT,4.6319211277296116e-05,True,False
dataset,StrategyQA,char_f1,300,0.21583060890460218,0.22662946936204734,0.010798860457445152,0.005722623927886066,0.015859898225122154,5.003396187525136,0.0010370675256810597,0.22377622377622378,,,MGCoT,0.0020528071845100668,True,False
dataset,aqua,char_f1,300,0.04513117890594236,0.047138369156547566,0.0020071902506052126,0.0007811826505890483,0.003145082535263937,4.447458052864931,3.512585072314994e-14,0.5300312432665374,,,MGCoT,3.181988830214759e-13,True,False
dataset,asdiv,char_f1,300,0.07185492107258241,0.07712299414830101,0.005268073075718591,0.0014774727723961094,0.009034891768205364,7.331541106832727,0.006139997320099053,0.18858686050326848,,,MGCoT,0.010624265025789371,True,False
dataset,clutrr,char_f1,300,0.5307648310918385,0.5612899081482517,0.030525077056413396,0.018789334156099766,0.042480536551660286,5.751149147094041,1.4901179502492507e-05,0.2948848238482385,,,MGCoT,3.761937120301387e-05,True,False
dataset,date,char_f1,300,0.26770346232175113,0.3592030107949376,0.09149954847318646,0.07307575199018472,0.1105201600645959,34.17944156553856,5.207745265900321e-17,0.5611370980498497,,,MGCoT,9.11355421532556e-16,True,False
dataset,gsm8k,char_f1,300,0.8233738396056121,0.8180320886633784,-0.00534175094223362,-0.010702804401571002,-1.488452221555852e-05,-0.6487637431852664,0.2100471447617187,-0.08565820144767514,,,SCoT,0.27894381819100217,False,False
dataset,saycan,char_f1,300,0.6767537292017689,0.6548202725913408,-0.021933456610428028,-0.029849524150600562,-0.014135223065346966,-3.2409805316179847,6.594830247568268e-08,-0.36915715863084286,,,SCoT,2.3293666470768651e-07,True,True
dataset,MultiArith,output_words,300,114.72333333333333,92.43666666666667,-22.286666666666665,-28.563416666666665,-16.12316666666667,-19.426446232966267,6.935981217565426e-11,-0.4380897846999542,,,MGCoT,3.9856011474069983e-10,True,False
dataset,QASports,output_words,300,142.59666666666666,83.17666666666666,-59.42,-69.52333333333333,-49.58316666666667,-41.66997826036139,9.547322481131741e-23,-0.6560795492805997,,,MGCoT,2.3714317130553037e-21,True,True
