group,metric,higher_is_better,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant
qwen2_1.5b,answered,True,400,0.8075,0.7875,-0.02,-0.055,0.015,-2.476780185758514,0.3317497633694906,-0.15384615384615385,30.0,22.0,SCoT,0.49762464505423587,False
gemma2_2b,bert_score_f1,True,400,0.7732636070251465,0.8032177080214024,0.029954100996255874,0.02716503482311964,0.032892439424991614,3.873724396715565,5.902184420868301e-62,0.9583790523690773,,,MGCoT,3.541310652520981e-61,True
llama3.2_1b,bert_score_f1,True,400,0.777355324178934,0.7577670493721962,-0.0195882748067379,-0.02231100957095623,-0.016995701886713507,-2.519861149394921,6.912231528926516e-41,-0.7725935162094764,,,SCoT,1.3824463057853034e-40,True
mistral_7b,bert_score_f1,True,400,0.7833952005207538,0.7796803677082061,-0.003714832812547683,-0.006259707413613796,-0.0010663516223430617,-0.4741965243185415,7.691262209802946e-09,-0.333216957605985,,,SCoT,9.229514651763535e-09,True
openchat_7b,bert_score_f1,True,400,0.7785373769700528,0.8032319471240044,0.024694570153951646,0.022372369360178706,0.027015650443732737,3.171918379828994,2.100404324632027e-60,0.9459351620947631,,,MGCoT,6.30121297389608e-60,True
phi3_mini,bert_score_f1,True,400,0.7834186120331288,0.7959262393414974,0.012507627308368683,0.00680960014089942,0.017448207229375835,1.596544569691659,2.811252710066485e-11,0.3840523690773067,,,MGCoT,4.2168790650997276e-11,True
qwen2_1.5b,bert_score_f1,True,400,0.7947354245185853,0.7989439252018928,0.004208500683307648,0.0021022239364683628,0.006358468931168317,0.5295473881583883,0.005648080078707215,0.16318537859007834,,,MGCoT,0.005648080078707215,True
gemma2_2b,char_f1,True,400,0.26886076525749497,0.314581329922145,0.04572056466465003,0.037633917169215186,0.05403038178982621,17.00529440242508,8.254855148836565e-36,0.7365780026109661,,,MGCoT,2.476456544650969e-35,True
llama3.2_1b,char_f1,True,400,0.2663443703814076,0.2464204274839002,-0.019923942897507405,-0.023891823952995498,-0.01571170330041788,-7.480519625391794,9.837422520971933e-30,-0.6677817667536988,,,SCoT,1.9674845041943865e-29,True
mistral_7b,char_f1,True,400,0.2674748600382606,0.26237261629099995,-0.005102243747260626,-0.011725785076877457,0.002817137926116208,-1.9075601148200554,3.980121258296969e-08,-0.3238141862489121,,,SCoT,5.970181887445454e-08,True
openchat_7b,char_f1,True,400,0.26963657397386376,0.32266300871516634,0.05302643474130253,0.04633415206849051,0.05999118067556809,19.665891002769698,5.60815206121743e-50,0.8674643770551699,,,MGCoT,3.364891236730458e-49,True
phi3_mini,char_f1,True,400,0.27099072502411775,0.29957442098946,0.028583695965342267,0.018406458640059523,0.03937708783392078,10.547850286314546,0.0005960249984461625,0.20378048610238583,,,MGCoT,0.0007152299981353949,True
qwen2_1.5b,char_f1,True,400,0.2996135087679002,0.3084987436417999,0.00888523487389966,0.003617517112471104,0.014293338148946216,2.9655655081903305,0.0027735303164325375,0.18426249676249676,,,MGCoT,0.0027735303164325375,True
gemma2_2b,cpu_usage_avg_percent,False,400,5.379391263152518,5.621941012579384,0.24254974942686708,0.10768454810611804,0.3841623264242265,4.508869824886546,0.00011684527721871915,0.22229426433915211,,,SCoT,0.00017526791582807874,True
